Date,USD,JPY,BGN,CYP,CZK,DKK,EEK,GBP,HUF,LTL,LVL,MTL,PLN,ROL,RON,SEK,SIT,SKK,CHF,ISK,NOK,HRK,RUB,TRL,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,ILS,
2016-04-22,1.1263,124.86,1.9558,N/A,27.046,7.4413,N/A,0.78335,310.1,N/A,N/A,N/A,4.3506,N/A,4.4753,9.1381,N/A,N/A,1.0991,N/A,9.2443,7.49,74.2513,N/A,3.1886,1.457,4.0218,1.4342,7.3159,8.7368,14871.07,74.9425,1287.41,19.6823,4.3943,1.6364,52.658,1.5211,39.432,16.1846,4.2401,
2016-04-21,1.1355,124.5,1.9558,N/A,27.024,7.4411,N/A,0.78693,310.7,N/A,N/A,N/A,4.3085,N/A,4.4815,9.1845,N/A,N/A,1.0989,N/A,9.2015,7.487,73.8545,N/A,3.1962,1.4496,4.0043,1.4346,7.3525,8.8088,14903.44,75.2595,1286.36,19.6232,4.4105,1.6262,52.822,1.5252,39.743,16.0999,4.2705,
2016-04-20,1.1379,124.2,1.9558,N/A,27.021,7.443,N/A,0.791,309.05,N/A,N/A,N/A,4.2875,N/A,4.4827,9.1643,N/A,N/A,1.0939,N/A,9.2336,7.5023,74.6465,N/A,3.2011,1.4556,4.0362,1.4421,7.3578,8.8272,14973.62,75.327,1285.04,19.706,4.395,1.6231,52.626,1.5246,39.656,16.1623,4.2766,
2016-04-19,1.1343,124.1,1.9558,N/A,27.021,7.4423,N/A,0.78975,310.51,N/A,N/A,N/A,4.3027,N/A,4.4813,9.1773,N/A,N/A,1.0922,N/A,9.2578,7.5005,74.4242,N/A,3.2136,1.4547,4.0408,1.4418,7.3372,8.7971,14858.2,75.4905,1277.28,19.5947,4.37,1.6127,52.29,1.5197,39.587,16.2034,4.2746,
2016-04-18,1.1306,122.32,1.9558,N/A,27.022,7.4417,N/A,0.7978,310.33,N/A,N/A,N/A,4.3059,N/A,4.4749,9.1948,N/A,N/A,1.0916,N/A,9.3325,7.505,76.7591,N/A,3.2251,1.4685,3.9606,1.4612,7.3241,8.7688,14890.95,75.274,1299.62,19.9043,4.4404,1.6303,52.253,1.5328,39.605,16.5061,4.2702,
